ID_ALOJAMIENTO,TITULO_ALOJAMIENTO,TIPO_ALOJAMIENTO,ESPACIO_ALOJAMIENTO,UBICACION,PRECIO_USD,MAX_HUESPEDES,CANTIDAD_HABITACIONES,CANTIDAD_CAMAS,CANTIDAD_BAÑOS,ES_SUPER_ANFITRION,CANTIDAD_EVALUACIONES,CALIFICACION_GENERAL,CALIFICACION_LIMPIEZA,CALIFICACION_VERACIDAD,CALIFICACION_LLEGADA,CALIFICACION_COMUNICACION,CALIFICACION_UBICACION,CALIFICACION_CALIDAD_PRECIO,FLAG_RESERV_INMEDIATA,FLAG_LLEGADA_AUTONOMA,FLAG_CANCELAC_GRATUITA,FLAG_ACEPT_MASCOTAS
6.98458E+17,CASA IN | Casa Du Cane | Casa De Campo,Apartamento,Alojamiento entero,La Romana,6000,16,8,8,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
47134437,Dormitorio Queen con aire acondicionado,Hotel,Habitación,Punta Cana,43,No encontrado,1,No encontrado,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
51611267,Roof top all new apt con todas las comodidades,Casa,Alojamiento entero,Santo Domingo,60,6,3,3,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
9.56598E+17,"8 dormitorios en Sosua, POP.",Apartotel,Alojamiento entero,Puerto Plata,650,16,8,8,6,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,0,0
6.45655E+17,"Skylight Suite Presidential Suite, 1 dormitorio,",Casa,Alojamiento entero,Santiago,125,3,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
7.3985E+17,"Villa VIP con todo incluido, estilo de vida y 4 dormitorios.",Apartotel,Habitación,Puerto Plata,325,8,4,No encontrado,4,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
1.14511E+18,Amoroso para 3,Hotel,Alojamiento entero,Samaná,40,3,1,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
19605968,Increíble condominio frente a la playa en Marbella Juan Dolio !,Casa,Alojamiento entero,Juan Dolio,132,6,2,3,2,0,46,4.7,4.5,4.8,4.6,4.8,4.9,4.7,1,1,0,0
7.99125E+17,Estudio apto para huéspedes en la planta superior justo en la playa,Apartamento,Alojamiento entero,Cabarete,160,2,1,1,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
50727181,"A 103, apartamento con estacionamiento y piscina social",Hostal,Alojamiento entero,Punta Cana,38,5,2,3,1,0,112,4.68,4.8,4.8,4.8,4.8,4.7,4.7,1,1,0,0
7.40777E+17,Resort VIP todo incluido en Sunrise Suites Penthouse,Hostal,Habitación,Puerto Plata,460,8,4,No encontrado,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
1.08657E+18,#4,Hostal,Habitación,Puerto Plata,45,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,1
8.45502E+17,Acogedor apartamento reformado,Casa,Alojamiento entero,Bayahibe,50,4,1,No encontrado,1,0,12,4.33,4.1,4.5,4.2,4.6,4.3,4.3,0,0,1,0
5.52319E+17,Res. Amanda del Mar B-3. Frente a la playa,Villa,Alojamiento entero,Santo Domingo,40,3,1,2,1,0,21,4.52,4.6,4.5,4.5,4.7,4.8,4.7,1,0,1,1
1.11089E+18,Club residencial E5,Apartamento,Alojamiento entero,Puerto Plata,40,2,No encontrado,No encontrado,1,0,5,5,5,5,5,5,5,5,1,1,0,0
8.04421E+17,Confort y tranquilidad,Apartotel,Alojamiento entero,Boca Chica,28,3,1,1,1,0,30,4.67,4.6,4.7,4.6,4.9,4.2,4.8,1,0,1,0
1.11029E+18,New Haven: habitación Frangipani,Hotel,Alojamiento entero,Puerto Plata,52,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
8.42265E+17,2 Bdr Villa con espacio y paz en Playa Dorada,Apartamento,Alojamiento entero,Puerto Plata,150,6,2,3,2,1,9,4.89,4.9,4.9,4.9,5,5,4.8,1,1,0,1
4328864,"Villa Tropicalia, una villa con vista al mar",Alojamiento,Alojamiento entero,Puerto Plata,980,8,4,4,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,0
6.75572E+17,ApartHotel Parco del Caribe Central,Apartamento,Alojamiento entero,Santo Domingo,59,2,1,1,1,1,No encontrado,No encontrado,5,5,5,5,5,5,0,1,1,0
1.10824E+18,Despierta con la Brisa del Mar Apt Completo,Apartamento,Alojamiento entero,Guayacanes,99,6,2,3,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
1.13344E+18,Te doy la bienvenida a mi acogedor apartamento de 1 dormitorio,Casa,Alojamiento entero,Puerto Plata,72,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
1.1261E+18,Apartamento acogedor de 2 camas en Cofresi,Apartamento,Alojamiento entero,Puerto Plata,204,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,1
15899754,Front Beach/Golf & Back Yard @Emotions Large Apt,Apartamento,Alojamiento entero,Puerto Plata,160,6,2,3,2,1,45,4.78,4.7,4.8,4.9,4.9,4.9,4.7,0,1,1,0
43349771,Penthouse A1 en Santo Domingo con Jacuzzi Privado,Apartamento,Alojamiento entero,Santo Domingo,95,6,3,3,3,0,No encontrado,No encontrado,4.5,4.5,4.5,4.6,4.5,4.3,0,0,0,0
8.2104E+17,Impresionante villa con vista al mar,Casa,Alojamiento entero,La Romana,No encontrado,16,8,10,9,1,11,4.91,4.9,5,5,5,4.9,4.8,1,0,0,0
48699363,"Estancia Casa Real, Con Vista a la Zona Colonial",Apartamento,Alojamiento entero,Santo Domingo,50,2,1,1,1,1,67,4.94,4.8,4.9,4.9,5,4.8,4.9,0,0,0,0
6.10954E+17,Zatara Jaus,Apartamento,Alojamiento entero,Santo Domingo,95,6,3,4,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
1.06522E+18,Apartamento nuevo en Bayahibe,Apartamento,Alojamiento entero,Bayahibe,105,4,2,2,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
5.7745E+17,"#8 El Navegante, prox. playa. WiFi full & picuzzi.",Habitación,Habitación,Bayahibe,37,2,1,1,1,0,21,4.38,4.4,4.4,4.4,4.6,4.9,4.4,1,1,0,0
1.0201E+18,¡Un lugar céntrico para estar!,Hostal,Alojamiento entero,Puerto Plata,70,2,No encontrado,No encontrado,0,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
6.1791E+17,Apartamento amplio y acogedor,Apartamento,Alojamiento entero,Puerto Plata,157,7,2,No encontrado,2,0,3,4.67,4.7,5,4.7,4.3,5,5,1,1,1,0
8.23837E+17,Departamentos Tropical Blue,Apartamento,Alojamiento entero,Bayahibe,50,4,1,2,1,1,9,4.89,4.9,5,4.9,5,4.9,4.8,1,1,1,0
8.00687E+17,Hermosa villa de 2 dormitorios y 2 baños con piscina privada.,Hotel,Alojamiento entero,Puerto Plata,208,4,2,2,2,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
31461998,TERRAZAS DEL CARIBE APARTAHOTEL,Hotel,Alojamiento entero,Santo Domingo,26,3,1,1,1,0,106,4.28,4.2,4.4,4.7,4.7,4.7,4.4,1,1,1,0
1.11908E+18,ROYAL Villas -5Bed- Puerto Plata,Apartamento,Habitación,Puerto Plata,250,10,5,5,5,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
1.13925E+18,Amoroso para 2,Apartamento,Alojamiento entero,Samaná,30,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
9.19564E+17,Bendición de Jehova Dios,Apartamento,Alojamiento entero,Santo Domingo,46,6,3,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,0
7.9407E+17,¡Villa tropical de 2 dormitorios y 2 baños llamada aves de nieve!,Casa,Alojamiento entero,Puerto Plata,350,5,2,2,2,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,1
50916338,MR | Villa Laurel | Casa de Campo | Ref: 520,Apartamento,Alojamiento entero,La Romana,885,10,4,7,No encontrado,1,5,4.8,5,5,5,4.6,4.8,4.8,0,0,0,0
1.01771E+18,Hermoso para 2 personas,Casa,Alojamiento entero,Samaná,30,2,1,1,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,0,1
7.31108E+17,Oceanside Junior Suite en resort todo incluido de 5*,Hostal,Alojamiento entero,Puerto Plata,97,4,1,No encontrado,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,0,0
6.40571E+17,Precioso apartamento cerca de la playa.,Apartamento,Alojamiento entero,Juan Dolio,85,6,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,1,1,0
50775375,Paraíso en la Bahía de Samaná,Casa,Alojamiento entero,Samaná,105,6,2,3,2,1,95,4.94,5,4.9,5,4.9,4.9,4.9,1,1,0,0
8793859,Marca de agua,Hostal,Alojamiento entero,Puerto Plata,165,4,2,3,2,0,35,4.71,4.7,4.8,5,4.8,4.9,4.5,0,0,1,0
53756372,Pueblito Taveras 2A,Apartotel,Alojamiento entero,Puerto Plata,50,2,1,2,1,0,No encontrado,No encontrado,4.5,3.8,4.8,4,4.5,4,0,0,0,0
1.06444E+18,Villa exclusiva * playa privada y servicio de limpieza,Apartamento,Alojamiento entero,Punta Cana,390,8,4,3,4,0,7,4.71,5,5,5,4.3,5,4.9,1,0,0,0
1.12818E+18,Micasa BCR Daniela,Apartotel,Alojamiento entero,Santo Domingo,No encontrado,3,1,1,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,1,1,0
9.63852E+17,Villas VIP Royal & Crown en la playa,Apartamento,Alojamiento entero,Puerto Plata,160,12,6,No encontrado,No encontrado,0,3,5,5,5,5,5,5,5,0,1,0,0
1.09593E+18,Oceanview Oasis in Puerto Plata!,Apartamento,Alojamiento entero,Puerto Plata,97,4,3,4,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
7.36366E+17,"Moderna y acogedora Villa, de un solo nivel",Hostal,Alojamiento entero,La Romana,750,10,4,6,No encontrado,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
53532701,Casa pequeña con acesso a piscina y jardin.,Casa,Alojamiento entero,Puerto Plata,25,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,1,0,1,1
8.53814E+17,Villa Mercedes-Dezil en Confresi,Apartamento,Alojamiento entero,Puerto Plata,50,4,1,1,1,0,3,3.33,3,4,2.3,3,3.7,4,1,1,1,0
37127780,INCREÍBLE PENTHOUSE de 2 NIVELES CON VISTA AL MAR de 3 dormitorios/2 baños,Hotel,Alojamiento entero,Santo Domingo,100,8,3,4,2,0,116,4.68,4.6,4.8,4.9,4.9,4.8,4.8,1,1,0,1
1.13547E+18,La mejor opción,Apartamento,Alojamiento entero,Santo Domingo,60,4,2,2,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
49748011,Hermoso estudio frente al mar: desayuno incluido,Apartamento,Alojamiento entero,Samaná,75,2,1,1,1,0,26,4.88,4.9,4.8,5,4.9,4.8,4.8,0,1,1,0
53527258,"Acogedor apartamento 4pax. 300m -> playa, cocina, WiFi",Habitación,Habitación,Bayahibe,85,4,1,2,1,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,0,0
32493844,Habitación Confort 50 mt playa  HOTEL AZZURRA DESAYUNO,Apartamento,Habitación,Santo Domingo,41,2,1,1,1,0,41,4.41,4.4,4.5,4.8,4.6,4.4,4.5,1,0,1,1
8.1008E+17,"Preciosa casa de vacaciones: piscina privada, aire acondicionado, wifi, barbacoa.",Hotel,Alojamiento entero,Santo Domingo,135,8,4,4,4,1,37,4.81,4.7,4.9,4.9,5,4.7,4.8,1,1,1,0
52165083,"Los mejores momentos se viven en el paraíso, Decide.",Hostal,Alojamiento entero,Puerto Plata,350,6,2,3,2,1,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
31072437,BRISA LOFT (Mango House) Kite beach,Alojamiento,Alojamiento entero,Cabarete,31,2,1,1,1,1,11,4.91,5,5,5,5,4.6,5,0,0,0,0
7.61095E+17,Piscina infinita • vista al mar y mesa de billar,Apartamento,Alojamiento entero,Puerto Plata,185,6,3,3,2,0,21,4.57,4.7,4.8,4.9,4.8,4.9,4.7,1,1,0,1
15086620,Vista a la montaña playa dorada casa*,Apartamento,Alojamiento entero,Puerto Plata,142,10,3,7,2,1,90,4.67,4.6,4.7,4.8,4.8,4.6,4.6,1,1,1,1
51595793,Punta Cana Beach Apartment White Sands G44,Apartamento,Alojamiento entero,Punta Cana,79,4,1,2,1,1,27,4.89,4.9,5,4.9,4.9,4.7,4.9,0,0,1,0
1.05809E+18,Alojamiento Puerto Plata,Apartamento,Alojamiento entero,Puerto Plata,23,2,1,No encontrado,1,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
6.96365E+17,Encantador  apartamento a solo 170 m del océano,Apartamento,Alojamiento entero,Puerto Plata,50,2,1,No encontrado,1,1,4,5,5,5,5,5,5,5,1,0,0,0
49001387,Las colinas de Samaná II,Apartamento,Alojamiento entero,Samaná,47,7,2,4,1,0,6,4,4.5,4.7,5,5,4.3,4.2,1,0,1,0
1.16098E+18,Confortable apto 102D tepuy,Apartotel,Alojamiento entero,Juan Dolio,96,5,2,No encontrado,2,0,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,0,0,1,0
7.22977E+17,3 Dormitorios Cerró Mar Puerto Plata Center De,Apartamento,Alojamiento entero,Puerto Plata,67,6,3,3,3,1,10,4.8,4.8,5,4.8,5,5,5,0,1,1,1
